Retail,Moran_I,random_Z,random_p,norm_Z,norm_p
all,0.3698291102198391,44.42792022451277,0.0,44.19549990250369,0.0
1,0.18415631609127842,22.087623510806896,0.0,22.019542867516268,0.0
2,0.3571250164774517,42.79379148994006,0.0,42.678177785809694,0.0
3,0.239518145345871,29.28832433466294,0.0,28.631720772686847,0.0
4,0.4066700357394468,49.303348601785,0.0,48.59562101495008,0.0
5,0.07837971449895727,9.417493043991488,0.0,9.38604218031207,0.0
6,0.042338205266776625,5.107464961316541,3.2650961800939626e-07,5.081399898387168,3.746634342771671e-07
7,0.08345126743715355,10.095524175332587,0.0,9.991766570823652,0.0
8,0.21349113417362459,25.96685942757659,0.0,25.523166909350056,0.0
