,MoranI_all,MoranI_1,MoranI_2,MoranI_3,MoranI_4,MoranI_5,MoranI_6,MoranI_7,MoranI_8
all,0.0,0.19834382258295455,0.3375594667790449,0.2673844256278903,0.3655442137306865,0.15131578414504818,0.11515518398931325,0.12253698293438778,0.1756362506635908
1,0.0,0.0,0.2171623481958884,0.09154981273632114,0.1504218553464786,0.10536694632457434,0.08234221655218268,0.07966864263731141,0.07812361271347024
2,0.0,0.0,0.0,0.20715813050148874,0.3311681259641262,0.1350827868735316,0.1113209361728686,0.10545205857192737,0.127261804099299
3,0.0,0.0,0.0,0.0,0.2752825242925819,0.10227348182096674,0.08093290674437485,0.08843890436823848,0.1658928180840107
4,0.0,0.0,0.0,0.0,0.0,0.13307108131809456,0.09217902739665486,0.09520878905615425,0.133782046985938
5,0.0,0.0,0.0,0.0,0.0,0.0,0.04010227323493198,0.07417943500672385,0.08007969503405125
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051153671019109295,0.051348705390202046
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058025700197120236
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.3698291102198391,0.18415631609127842,0.3571250164774517,0.239518145345871,0.4066700357394468,0.07837971449895727,0.042338205266776625,0.08345126743715355,0.21349113417362459
