class,2014_numbers,2014_percent(%),2015_numbers,2015_percent(%),2016_numbers,2016_percent(%),2017_numbers,2017_percent(%),2018_numbers,2018_percent(%),2019_numbers,2019_percent(%),2020_numbers,2020_percent(%),2021_numbers,2021_percent(%),2022_numbers,2022_percent(%),2023_numbers,2023_percent(%)
1.0,1745.0,25.176742172846634,1955.0,24.622166246851386,2180.0,23.84076990376203,2337.0,23.134032864779254,2501.0,22.191659272404614,2669.0,21.39993585631815,2882.0,20.814675718619096,2976.0,19.37626147535647,3239.0,19.88580550098232,3556.0,20.15187577921342
2.0,2143.0,30.91905929880248,2410.0,30.35264483627204,2700.0,29.527559055118108,2977.0,29.469411997624235,3281.0,29.112688553682343,3630.0,29.105195638229635,3939.0,28.448649429438106,4093.0,26.648870369164655,4334.0,26.608546168958743,4709.0,26.685934489402698
3.0,1090.0,15.726446400230849,1279.0,16.10831234256927,1593.0,17.421259842519685,1827.0,18.085527618293405,2049.0,18.181011535048803,2345.0,18.802116741500964,2782.0,20.09244547161635,3056.0,19.897128719317664,3190.0,19.584970530451866,3393.0,19.228153689221354
4.0,949.0,13.692107920934928,1173.0,14.773299748110832,1402.0,15.332458442694662,1593.0,15.769154622846962,1849.0,16.406388642413486,2092.0,16.773572803078896,2408.0,17.391304347826086,3333.0,21.700631551533302,3516.0,21.586444007858546,3705.0,20.996259775586534
5.0,538.0,7.762227672774491,577.0,7.2670025188916885,624.0,6.824146981627297,663.0,6.563056820431598,834.0,7.400177462289263,899.0,7.208146247594612,935.0,6.752852809475661,955.0,6.21785272478677,1003.0,6.157907662082515,1224.0,6.9364161849710975
6.0,246.0,3.5492713894098977,263.0,3.312342569269521,277.0,3.0293088363954506,281.0,2.7816274005147497,289.0,2.5643300798580304,300.0,2.4053880692751766,301.0,2.1739130434782608,315.0,2.050914773097207,325.0,1.9953339882121806,346.0,1.9607843137254901
7.0,111.0,1.6015005049776365,162.0,2.040302267002519,197.0,2.1544181977252843,232.0,2.296574935656306,262.0,2.3247559893522625,311.0,2.4935856318152663,350.0,2.5278058645096055,354.0,2.3048375545282895,364.0,2.2347740667976423,401.0,2.2724696815142242
8.0,109.0,1.5726446400230847,121.0,1.5239294710327456,171.0,1.8700787401574805,192.0,1.9006137398534944,205.0,1.8189884649511978,226.0,1.8120590121872997,249.0,1.7983533150368338,277.0,1.803502832215639,317.0,1.9462180746561888,312.0,1.7681060863651819
total,6931.0,100.0,7940.0,100.00000000000001,9144.0,100.0,10102.0,100.0,11270.0,100.0,12472.0,100.0,13846.0,100.0,15359.0,100.0,16288.0,100.00000000000001,17646.0,100.0
